# Tube  shift [tube is shifted this many pixels vertically]
# Tube numbers start from 1
1       0
2       4
3       0
4       4
5       2
6       4
7       -1
8       6
9       1
10      4
11      -2
12      6
13      0
14      5
15      -1
16      6
17      0
18      4
19      -1
20      4
21      -1
22      3
23      -3
24      4
25      -1
26      2
27      -1
28      2
29      -2
30      3
31      -1
32      3
33      -2
34      3
35      -2
36      3
37      -3
38      2
39      -3
40      2
41      -4
42      5
43      -3
44      2
45      -3
46      2
47      -3
48      1
49      0
50      2
51      -1
52      1
53      -3
54      2
55      -1
56      3
57      -3
58      2
59      -1
60      2
61      -1
62      0
63      -2
64      1
65      -1
66      3
67      -2
68      4
69      -2
70      4
71      -2
72      3
73      -4
74      5
75      -3
76      3
77      -2
78      3
79      -3
80      4
81      2
82      5
83      -1
84      4
85      0
86      2
87      -3
88      3
89      -1
90      2
91      -1
92      2
93      -2
94      4
95      -2
96      3
97      -1
98      2
99      -3
100     3
101     -2
102     3
103     -3
104     3
105     -2
106     3
107     -1
108     3
109     0
110     2
111     -2
112     2
113     -2
114     4
115     -2
116     2
117     -3
118     2
119     -4
120     2
121     -4
122     2
123     -4
124     1
125     -3
126     1
127     -2
128     2

