Category,No,FXY1,ElementName1_en,FXY2,ElementName2_en
#高空,,,,
9,1,309192,A1,301111,A1
9,2,309192,A2,1101,A2
9,3,309192,A3,1192,A3
9,4,309192,A4,101002,A4
9,5,309192,A5,33035,A5
9,6,309192,A6,25061,A6
9,7,309192,A7,2192,A7
9,8,309192,A8,8041,A8
9,9,309192,A9,301011,A9
9,10,309192,A10,1081,A10
9,11,309192,A11,1082,A11
9,12,309192,A12,2067,A12
9,13,309192,A13,2095,A13
9,14,309192,A14,2096,A14
9,15,309192,A15,2097,A15
9,16,309192,A16,2081,A16
9,17,309192,A17,2082,A17
9,18,309192,A18,2084,A18
9,19,309192,A19,2191,A19
9,20,309192,A20,2200,A20
9,21,309192,A21,2066,A21
9,22,309192,A22,2102,A22
9,23,309192,A23,2193,A23
9,24,309192,A24,2194,A24
9,25,309192,A25,2195,A25
9,26,309192,A26,2196,A26
9,27,309192,A27,2197,A27
9,28,309192,A28,2198,A28
9,29,309192,A29,10192,A29
9,30,309192,A30,10193,A30
9,31,309192,A31,10194,A31
9,32,309192,A32,12192,A32
9,33,309192,A33,12193,A33
9,34,309192,A34,12194,A34
9,35,309192,A35,13192,A35
9,36,309192,A36,13193,A36
9,37,309192,A37,13194,A37
9,38,309192,A38,2199,A38
9,39,309192,A39,301113,A39
9,40,309192,A40,8025,A40
9,41,309192,A41,4192,A41
9,42,309192,A42,106002,A42
9,43,309192,A43,8192,A43
9,44,309192,A44,301011,A44
9,45,309192,A45,301013,A45
9,46,309192,A46,35035,A46
9,47,309192,A47,7007,A47
9,48,309192,A48,7022,A48
9,49,309192,A49,301114,A49
9,50,309192,A50,10004,A50
9,51,309192,A51,302032,A51
9,52,309192,A52,7032,A52
9,53,309192,A53,7032,A53
9,54,309192,A54,2002,A54
9,55,309192,A55,8021,A55
9,56,309192,A56,4025,A56
9,57,309192,A57,11001,A57
9,58,309192,A58,11002,A58
9,59,309192,A59,8021,A59
9,60,309192,A60,7032,A60
9,61,309192,A61,20003,A61
9,62,309192,A62,7022,A62
9,63,309192,A63,20001,A63
9,64,309192,A64,101003,A64
9,65,309192,A65,20012,A65
9,66,309192,A66,20051,A66
9,67,309192,A67,20010,A67
9,68,309192,A68,101003,A68
9,69,309192,A69,20192,A69
9,70,309192,A70,5021,A70
9,71,309192,A71,7021,A71
9,72,309192,A72,6021,A72
9,73,309192,A73,302049,A73
9,74,309192,A74,113000,A74
9,75,309192,A75,31002,A75
9,76,309192,A76,204008,A76
9,77,309192,A77,31021,A77
9,78,309192,A78,4086,A78
9,79,309192,A79,8042,A79
9,80,309192,A80,7004,A80
9,81,309192,A81,10009,A81
9,82,309192,A82,5015,A82
9,83,309192,A83,6015,A83
9,84,309192,A84,12101,A84
9,85,309192,A85,12103,A85
9,86,309192,A86,11001,A86
9,87,309192,A87,11002,A87
9,88,309192,A88,204000,A88
9,89,309192,A89,110000,A89
9,90,309192,A90,31002,A90
9,91,309192,A91,204008,A91
9,92,309192,A92,31021,A92
9,93,309192,A93,4086,A93
9,94,309192,A94,8042,A94
9,95,309192,A95,7007,A95
9,96,309192,A96,5015,A96
9,97,309192,A97,6015,A97
9,98,309192,A98,11001,A98
9,99,309192,A99,11002,A99
9,100,309192,A100,204000,A100
9,101,309192,A101,110000,A101
9,102,309192,A102,31002,A102
9,103,309192,A103,204008,A103
9,104,309192,A104,31021,A104
9,105,309192,A105,4086,A105
9,106,309192,A106,8042,A106
9,107,309192,A107,7004,A107
9,108,309192,A108,5015,A108
9,109,309192,A109,6015,A109
9,110,309192,A110,11061,A110
9,111,309192,A111,11062,A111
9,112,309192,A112,204000,A112
9,113,309192,A113,115000,A113
9,114,309192,A114,31002,A114
9,115,309192,A115,204008,A115
9,116,309192,A116,31021,A116
9,117,309192,A117,4086,A117
9,118,309192,A118,7004,A118
9,119,309192,A119,10009,A119
9,120,309192,A120,5015,A120
9,121,309192,A121,6015,A121
9,122,309192,A122,12101,A122
9,123,309192,A123,13003,A123
9,124,309192,A124,11001,A124
9,125,309192,A125,11002,A125
9,126,309192,A126,7021,A126
9,127,309192,A127,5021,A127
9,128,309192,A128,28192,A128
9,129,309192,A129,204000,A129
9,130,309192,A130,112000,A130
9,131,309192,A131,31002,A131
9,132,309192,A132,204008,A132
9,133,309192,A133,31021,A133
9,134,309192,A134,4086,A134
9,135,309192,A135,10009,A135
